sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
3669, cataract,-1,,0.95,375545,Cataract,SNOMED,Condition,S,50,4,Disorder,193570009,20020131,20991231,
2511,Other specified hypoglycemia,-1,,0.74,24609,Hypoglycemia,SNOMED,Condition,S,4,2,Disorder,302866003,20020131,20991231,
42830,Diastolic heart failure,-1,,1.0,443587,Diastolic heart failure,SNOMED,Condition,S,5,3,Disorder,418304008,20060131,20991231,
7580,Down's syndrome,-1,,1.0,439125,Complete trisomy 21 syndrome,SNOMED,Condition,S,7,3,Disorder,41040004,20020131,20991231,
V4986,Do not resuscitate status,-1,,1.0,4119499,Not for resuscitation,SNOMED,Observation,S,2,1,Clinical Finding,304253006,20020131,20991231,
42789,Other specified cardiac dysrhythmias,-1,,0.85,44784217,Cardiac arrhythmia,SNOMED,Condition,S,35,1,Disorder,698247007,20140131,20991231,
1890,"Malignant neoplasm of kidney, except pelvis",-1,,0.64,198985,Primary malignant neoplasm of kidney,SNOMED,Condition,S,10,4,Disorder,93849006,20020131,20991231,
5849,Acute kidney failure,-1,,0.91,37116430,Acute kidney failure stage 1,SNOMED,Condition,S,0,1,Disorder,733137002,20170731,20991231,
1961,Secondary and  malignant neoplasm of intrathoracic lymph nodes,-1,,0.79,4131304,Neoplasm of intrathoracic lymph nodes,SNOMED,Condition,S,10,2,Disorder,127245003,20020131,20991231,
V5861,Long-term (current) use of anticoagulants,-1,,0.77,46273937,Long-term current use of anticoagulant,SNOMED,Observation,S,0,1,Context-dependent,711150003,20150731,20991231,
V4572,Acquired absence of intestine (large) (small),-1,,0.55,4051998,Acquired absence,SNOMED,Observation,S,2,2,Morph Abnormality,12535006,20020131,20991231,
9341,Foreign body in main bronchus,-1,,1.0,256576,Foreign body in main bronchus,SNOMED,Condition,S,2,1,Disorder,11356007,20020131,20991231,
41041,"Acute myocardial infarction of other inferior wall, initial episode of care",-1,,0.73,438170,Acute myocardial infarction of inferior wall,SNOMED,Condition,S,6,2,Disorder,73795002,20020131,20991231,
8670,"Injury to bladder and urethra, without mention of open wound into cavity",-1,,0.78,201719,Injury of urinary bladder and urethra with open wound into abdominal cavity,SNOMED,Condition,S,0,4,Disorder,210215001,20020131,20991231,
1966,Secondary and  malignant neoplasm of intrapelvic lymph nodes,-1,,0.8,4131428,Neoplasm of intrapelvic lymph node,SNOMED,Condition,S,12,3,Disorder,127267002,20020131,20991231,
29570,Schizoaffective disorder,-1,,1.0,4286201,Schizoaffective disorder,SNOMED,Condition,S,5,1,Disorder,68890003,20020131,20991231,
59971,Gross hematuria,-1,,1.0,75004,Frank hematuria,SNOMED,Condition,S,4,2,Disorder,197941005,20020131,20991231,
1972,Secondary malignant neoplasm of pleura,-1,,0.83,78093,Primary malignant neoplasm of pleura,SNOMED,Condition,S,4,2,Disorder,93966009,20020131,20991231,
24220,Toxic multinodular goiter without mention of thyrotoxic crisis or storm,-1,,0.85,134608,Toxic multinodular goiter with thyrotoxic crisis,SNOMED,Condition,S,0,2,Disorder,62278002,20020131,20991231,
28521,Anemia in chronic kidney disease,-1,,1.0,45768812,Anemia in chronic kidney disease,SNOMED,Condition,S,7,1,Disorder,707323002,20150131,20991231,
