sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
220181,mean Non-Invasive Blood Pressure,-1,,0.93,4108289,Non-invasive mean arterial pressure,SNOMED,Measurement,S,0,2,Observable Entity,251074006,20020131,20991231,
227538,Low Arterial Blood Pressure Alarm,-1,,0.75,4298391,Arterial blood pressure,SNOMED,Measurement,S,5,2,Observable Entity,386534000,20030131,20991231,
227537,High Arterial Blood Pressure Alarm,-1,,0.75,4298391,Arterial blood pressure,SNOMED,Measurement,S,5,2,Observable Entity,386534000,20030131,20991231,
220058,High Arterial Blood Pressure Alarm,-1,,0.75,4298391,Arterial blood pressure,SNOMED,Measurement,S,5,2,Observable Entity,386534000,20030131,20991231,
220052,Arterial Blood Pressure mean,-1,,0.88,4298391,Arterial blood pressure,SNOMED,Measurement,S,5,2,Observable Entity,386534000,20030131,20991231,
220050,Arterial Blood Pressure systolic,-1,,0.81,4298391,Arterial blood pressure,SNOMED,Measurement,S,5,2,Observable Entity,386534000,20030131,20991231,
220051,Arterial Blood Pressure diastolic,-1,,0.8,4298391,Arterial blood pressure,SNOMED,Measurement,S,5,2,Observable Entity,386534000,20030131,20991231,
227242,Right Manual Blood Pressure Diastolic,-1,,0.69,4154790,Diastolic blood pressure,SNOMED,Measurement,S,11,2,Observable Entity,271650006,20020131,20991231,
220180,Non-Invasive Blood Pressure diastolic,-1,,0.96,4068414,Non-invasive diastolic arterial pressure,SNOMED,Measurement,S,0,1,Observable Entity,174255007,20020131,20991231,
223751,High Non-Invasive Blood Pressure Alarm,-1,,0.83,36716965,Non-invasive blood pressure,SNOMED,Measurement,S,1,1,Observable Entity,723237002,20170131,20991231,
220056,Low Arterial Blood Pressure Alarm,-1,,0.75,4298391,Arterial blood pressure,SNOMED,Measurement,S,5,2,Observable Entity,386534000,20030131,20991231,
220179,Non-Invasive Blood Pressure systolic,-1,,0.96,4354252,Non-invasive systolic arterial pressure,SNOMED,Measurement,S,0,1,Observable Entity,251070002,20020131,20991231,
227539,Source Arterial Blood Pressure Alarm,-1,,0.73,4298391,Arterial blood pressure,SNOMED,Measurement,S,5,2,Observable Entity,386534000,20030131,20991231,
224643,Left Manual Blood Pressure Diastolic,-1,,0.7,4154790,Diastolic blood pressure,SNOMED,Measurement,S,11,2,Observable Entity,271650006,20020131,20991231,
223752,Low Non-Invasive Blood Pressure Alarm,-1,,0.83,36716965,Non-invasive blood pressure,SNOMED,Measurement,S,1,1,Observable Entity,723237002,20170131,20991231,
224167,Left Manual Blood Pressure Systolic,-1,,0.7,4152194,Systolic blood pressure,SNOMED,Measurement,S,11,2,Observable Entity,271649006,20020131,20991231,
227243,Right Manual Blood Pressure Systolic,-1,,0.69,4152194,Systolic blood pressure,SNOMED,Measurement,S,11,2,Observable Entity,271649006,20020131,20991231,
